diabetes_Lower 95% CI,diabetes_Upper 95% CI,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,diabetes_ratio,comorbidity_risk
11.5,13.9,3.6,3.3,3.9,0.09727626459143969,62.699999999999996
12.5,14.4,3.6,3.3,3.8,0.10561201944321696,60.9
13.9,16.0,3.6,3.4,3.8,0.11387898854841091,69.8
11.6,13.5,3.6,3.4,3.9,0.09964682480615959,60.0
11.9,14.4,4.0,3.7,4.4,0.1127840869145431,49.7
12.1,13.4,3.1,2.9,3.2,0.0940623124945029,56.60000000000001
10.7,12.2,2.9,2.7,3.1,0.08970786195947322,51.9
12.9,15.4,3.8,3.5,4.2,0.11268387454898696,67.4
11.0,13.2,3.5,3.3,3.8,0.10074896321208245,52.2
6.8,8.0,2.2,2.1,2.4,0.05911014147824937,42.5
11.4,13.4,3.5,3.2,3.8,0.09698630136986301,60.900000000000006
9.5,11.3,3.2,3.0,3.5,0.08136335637533365,52.099999999999994
10.2,12.2,3.1,2.8,3.3,0.08491669102601579,54.9
12.3,14.1,3.4,3.1,3.6,0.09938474445920437,63.8
8.3,9.9,2.9,2.7,3.1,0.07124665101048523,46.7
15.5,17.2,3.9,3.7,4.2,0.13194880463656122,70.7
16.2,17.9,3.9,3.7,4.1,0.13204259438528557,77.1
9.6,11.5,3.2,2.9,3.5,0.07930319162230387,53.8
14.9,17.4,3.8,3.5,4.1,0.12398134733792104,75.9
14.1,16.3,4.3,4.1,4.7,0.12576807425807296,62.7
21.0,23.4,5.5,5.1,5.9,0.18209741114523914,80.1
12.8,14.5,3.6,3.4,3.9,0.09910306014773126,62.900000000000006
9.3,11.0,2.7,2.5,2.9,0.07933207049909405,54.0
16.4,18.2,4.0,3.8,4.3,0.13453793403722653,70.5
11.9,14.2,3.5,3.2,3.8,0.09731745458919765,62.7
13.0,15.7,4.1,3.8,4.5,0.11803232998885173,60.4
11.9,13.6,3.6,3.4,3.8,0.09665688987780546,54.900000000000006
16.5,18.4,4.1,3.9,4.3,0.12906390759488026,70.0
9.2,10.9,3.3,3.1,3.6,0.07740884090446119,46.5
11.5,13.8,3.6,3.3,3.9,0.0993408942461849,62.6
14.4,16.2,3.9,3.7,4.2,0.11510293758645944,69.0
12.6,14.8,3.2,3.0,3.5,0.10475282807773588,63.099999999999994
16.2,17.7,4.4,4.1,4.6,0.1294025274807448,70.9
11.1,13.0,3.0,2.8,3.3,0.09266779886288119,58.900000000000006
11.9,14.3,3.3,3.0,3.6,0.1057837384744342,59.5
10.0,11.8,3.0,2.8,3.3,0.07747875354107649,51.900000000000006
10.1,11.9,3.1,2.9,3.4,0.08704833411543876,61.1
14.7,17.3,3.8,3.5,4.1,0.12504835739597356,73.0
